dataset,seed,corruption,severity,alpha,method,backbone,epochs,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,drift,0.4,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.96,1.79,0.21,0.8095238095238095,0.0,0.36,0.6186125421524048
ECG200,0,drift,0.4,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.97,1.8,0.2,0.85,0.0,0.36,0.6186125421524048
ECG200,0,drift,0.4,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.96,1.79,0.21,0.8095238095238095,0.0,0.36,0.6186125421524048
ECG200,1,gap,0.05,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.97,1.91,0.09,0.6666666666666666,0.0,0.36,0.5759872555732728
ECG200,1,gap,0.05,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.97,1.89,0.11,0.7272727272727273,0.0,0.36,0.5759872555732728
ECG200,1,gap,0.05,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.98,1.93,0.07,0.7142857142857143,0.0,0.36,0.5759872555732728
ECG200,1,gap,0.05,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.97,1.89,0.11,0.7272727272727273,0.0,0.36,0.5759872555732728
ECG200,1,gap,0.1,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.99,1.93,0.07,0.8571428571428571,0.0,0.36,0.5763970243930816
ECG200,1,gap,0.1,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.98,1.9,0.1,0.8,0.0,0.36,0.5763970243930816
ECG200,1,gap,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.99,1.94,0.06,0.8333333333333334,0.0,0.36,0.5763970243930816
ECG200,1,gap,0.1,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.98,1.91,0.09,0.7777777777777778,0.0,0.36,0.5763970243930816
ECG200,1,gap,0.2,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.93,1.83,0.17,0.5882352941176471,0.0,0.36,0.5792742586135864
ECG200,1,gap,0.2,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.93,1.79,0.21,0.6666666666666666,0.0,0.36,0.5792742586135864
ECG200,1,gap,0.2,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.93,1.83,0.17,0.5882352941176471,0.0,0.36,0.5792742586135864
ECG200,1,gap,0.2,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.93,1.79,0.21,0.6666666666666666,0.0,0.36,0.5792742586135864
ECG200,1,noise,0.05,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.98,1.92,0.08,0.75,0.0,0.36,0.5753956365585327
ECG200,1,noise,0.05,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.98,1.89,0.11,0.8181818181818182,0.0,0.36,0.5753956365585327
ECG200,1,noise,0.05,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.98,1.93,0.07,0.7142857142857143,0.0,0.36,0.5753956365585327
ECG200,1,noise,0.05,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.98,1.9,0.1,0.8,0.0,0.36,0.5753956365585327
ECG200,1,noise,0.1,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.98,1.92,0.08,0.75,0.0,0.36,0.5756016510725022
ECG200,1,noise,0.1,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.97,1.89,0.11,0.7272727272727273,0.0,0.36,0.5756016510725022
ECG200,1,noise,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.99,1.93,0.07,0.8571428571428571,0.0,0.36,0.5756016510725022
ECG200,1,noise,0.1,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.97,1.89,0.11,0.7272727272727273,0.0,0.36,0.5756016510725022
ECG200,1,noise,0.2,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.98,1.93,0.07,0.7142857142857143,0.0,0.36,0.5756836116313935
ECG200,1,noise,0.2,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.98,1.89,0.11,0.8181818181818182,0.0,0.36,0.5756836116313935
ECG200,1,noise,0.2,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.98,1.92,0.08,0.75,0.0,0.36,0.5756836116313935
ECG200,1,noise,0.2,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.98,1.89,0.11,0.8181818181818182,0.0,0.36,0.5756836116313935
ECG200,1,drift,0.1,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.98,1.92,0.08,0.75,0.0,0.36,0.5749114447832108
ECG200,1,drift,0.1,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.97,1.89,0.11,0.7272727272727273,0.0,0.36,0.5749114447832108
ECG200,1,drift,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.98,1.92,0.08,0.75,0.0,0.36,0.5749114447832108
ECG200,1,drift,0.1,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.97,1.89,0.11,0.7272727272727273,0.0,0.36,0.5749114447832108
ECG200,1,drift,0.2,0.05,clean_split_cp,fcn,20,65,35,350,100,2,0.98,1.9,0.1,0.8,0.0,0.36,0.5756485468149185
ECG200,1,drift,0.2,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.97,1.88,0.12,0.75,0.0,0.36,0.5756485468149185
ECG200,1,drift,0.2,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,0.98,1.9,0.1,0.8,0.0,0.36,0.5756485468149185
ECG200,1,drift,0.2,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.97,1.88,0.12,0.75,0.0,0.36,0.5756485468149185
ECG200,1,drift,0.4,0.05,clean_split_cp,fcn,20,65,35,350,100,2,1.0,1.89,0.11,1.0,0.0,0.36,0.5779400587081909
ECG200,1,drift,0.4,0.05,aug_split_cp,fcn,20,65,35,350,100,2,0.97,1.84,0.16,0.8125,0.0,0.36,0.5779400587081909
ECG200,1,drift,0.4,0.05,fast_cp_mixed_confidence_only,fcn,20,65,35,350,100,2,1.0,1.9,0.1,1.0,0.0,0.36,0.5779400587081909
ECG200,1,drift,0.4,0.05,fast_cp_mixed,fcn,20,65,35,350,100,2,0.97,1.85,0.15,0.8,0.0,0.36,0.5779400587081909
GunPoint,0,gap,0.05,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.18060714284578958
GunPoint,0,gap,0.05,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.18060714284578958
GunPoint,0,gap,0.05,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.18060714284578958
GunPoint,0,gap,0.05,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.18060714284578958
GunPoint,0,gap,0.1,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9866666666666667,1.9,0.1,0.8666666666666667,0.0,0.49333333333333335,0.18204628030459086
GunPoint,0,gap,0.1,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9866666666666667,1.9,0.1,0.8666666666666667,0.0,0.49333333333333335,0.18204628030459086
GunPoint,0,gap,0.1,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9866666666666667,1.9,0.1,0.8666666666666667,0.0,0.49333333333333335,0.18204628030459086
GunPoint,0,gap,0.1,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9866666666666667,1.9,0.1,0.8666666666666667,0.0,0.49333333333333335,0.18204628030459086
GunPoint,0,gap,0.2,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9466666666666667,1.78,0.22,0.7575757575757576,0.0,0.49333333333333335,0.19271130124727884
GunPoint,0,gap,0.2,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9466666666666667,1.78,0.22,0.7575757575757576,0.0,0.49333333333333335,0.19271130124727884
GunPoint,0,gap,0.2,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9466666666666667,1.78,0.22,0.7575757575757576,0.0,0.49333333333333335,0.19271130124727884
GunPoint,0,gap,0.2,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9466666666666667,1.78,0.22,0.7575757575757576,0.0,0.49333333333333335,0.19271130124727884
GunPoint,0,noise,0.05,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.17922356685002644
GunPoint,0,noise,0.05,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.17922356685002644
GunPoint,0,noise,0.05,0.05,fast_cp_mixed_confidence_only,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.17922356685002644
GunPoint,0,noise,0.05,0.05,fast_cp_mixed,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.17922356685002644
GunPoint,0,noise,0.1,0.05,clean_split_cp,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.1773749307791392
GunPoint,0,noise,0.1,0.05,aug_split_cp,fcn,20,32,18,180,150,2,0.9933333333333333,1.9066666666666667,0.09333333333333334,0.9285714285714286,0.0,0.49333333333333335,0.1773749307791392
