corruption,fast_coverage,aug_coverage,coverage_delta,coverage_delta_ci_low,coverage_delta_ci_high,set_size_reduction,set_size_reduction_ci_low,set_size_reduction_ci_high,fast_set_size,aug_set_size,n_cells
Overall,0.954139763769866,0.9555501066754286,-0.0014103429055627942,-0.002388741829321083,-0.0006187643558528631,0.013868896091116044,0.009037881069716364,0.01942133532863111,2.3904526139021964,2.4043215099933124,144
drift,0.9518611937188745,0.9544439270286486,-0.00258273330977412,-0.0048835004104455385,-0.0008320518412992903,0.013859516442567235,0.004932213659575887,0.026366849997773684,2.380909671715525,2.3947691881580924,48
gap,0.9426369848175775,0.9431268809907681,-0.0004898961731906598,-0.0013240584780462887,0.0001944099507930929,0.01390049278635705,0.006543328273931247,0.02289212469210851,2.364593567569622,2.378494060355979,48
noise,0.9679211127731454,0.969079512006869,-0.0011583992337236028,-0.0029266054940536804,-0.000195159481143731,0.013846679044423845,0.0062399046916751695,0.023025997549751893,2.4258546024214422,2.439701281465866,48
