dataset,seed,corruption,severity,alpha,method,backbone,epochs,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,drift,0.4,0.05,aug_split_cp,fcn,3,65,35,350,100,2,0.94,1.78,0.22,0.7272727272727273,0.0,0.36,0.23620662748813628
ECG200,0,drift,0.4,0.05,fast_cp_mixed_confidence_only,fcn,3,65,35,350,100,2,0.95,1.79,0.21,0.7619047619047619,0.0,0.36,0.23620662748813628
ECG200,0,drift,0.4,0.05,fast_cp_mixed,fcn,3,65,35,350,100,2,0.94,1.78,0.22,0.7272727272727273,0.0,0.36,0.23620662748813628
GunPoint,0,gap,0.05,0.05,clean_split_cp,fcn,3,32,18,180,150,2,0.9733333333333334,1.9733333333333334,0.02666666666666667,0.0,0.0,0.5066666666666667,0.11242408196131393
GunPoint,0,gap,0.05,0.05,aug_split_cp,fcn,3,32,18,180,150,2,0.9666666666666667,1.9666666666666666,0.03333333333333333,0.0,0.0,0.5066666666666667,0.11242408196131393
GunPoint,0,gap,0.05,0.05,fast_cp_mixed_confidence_only,fcn,3,32,18,180,150,2,0.9666666666666667,1.9666666666666666,0.03333333333333333,0.0,0.0,0.5066666666666667,0.11242408196131393
GunPoint,0,gap,0.05,0.05,fast_cp_mixed,fcn,3,32,18,180,150,2,0.9666666666666667,1.9266666666666667,0.07333333333333333,0.5454545454545454,0.0,0.5066666666666667,0.11242408196131393
GunPoint,0,gap,0.1,0.05,clean_split_cp,fcn,3,32,18,180,150,2,0.98,1.98,0.02,0.0,0.0,0.5066666666666667,0.11129802783330286
GunPoint,0,gap,0.1,0.05,aug_split_cp,fcn,3,32,18,180,150,2,0.98,1.98,0.02,0.0,0.0,0.5066666666666667,0.11129802783330286
GunPoint,0,gap,0.1,0.05,fast_cp_mixed_confidence_only,fcn,3,32,18,180,150,2,0.98,1.98,0.02,0.0,0.0,0.5066666666666667,0.11129802783330286
GunPoint,0,gap,0.1,0.05,fast_cp_mixed,fcn,3,32,18,180,150,2,0.98,1.9533333333333334,0.04666666666666667,0.5714285714285714,0.0,0.5066666666666667,0.11129802783330286
