dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,gap,0.2,0.05,fast_cp_mixed_no_spectral,65,35,245,100,2,0.99,1.57,0.43,0.9767441860465116,0.0,0.82,0.12215511828806735
ECG200,0,noise,0.05,0.05,clean_split_cp,65,35,245,100,2,0.99,1.68,0.32,0.96875,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,aug_split_cp,65,35,245,100,2,0.99,1.54,0.46,0.9782608695652174,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,aps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,raps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,mondrian_corruption_cp,65,35,245,100,2,0.99,1.66,0.34,0.9705882352941176,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,label_smooth_aug_cp,65,35,245,100,2,0.99,1.54,0.46,0.9782608695652174,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,confidence_weighted_cp,65,35,245,100,2,0.99,1.54,0.46,0.9782608695652174,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,fast_cp,65,35,245,100,2,0.97,1.46,0.54,0.9444444444444444,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,fast_cp_mixed,65,35,245,100,2,0.97,1.49,0.51,0.9411764705882353,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,fast_cp_mixed_input_only,65,35,245,100,2,0.97,1.44,0.56,0.9464285714285714,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,fast_cp_mixed_no_confidence,65,35,245,100,2,0.97,1.44,0.56,0.9464285714285714,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.05,0.05,fast_cp_mixed_no_spectral,65,35,245,100,2,0.97,1.48,0.52,0.9423076923076923,0.0,0.83,0.12590054297998157
ECG200,0,noise,0.1,0.05,clean_split_cp,65,35,245,100,2,1.0,1.65,0.35,1.0,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,aug_split_cp,65,35,245,100,2,0.99,1.57,0.43,0.9767441860465116,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,aps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,raps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,mondrian_corruption_cp,65,35,245,100,2,0.99,1.64,0.36,0.9722222222222222,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,label_smooth_aug_cp,65,35,245,100,2,0.99,1.57,0.43,0.9767441860465116,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,confidence_weighted_cp,65,35,245,100,2,0.99,1.57,0.43,0.9767441860465116,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,fast_cp,65,35,245,100,2,0.98,1.48,0.52,0.9615384615384616,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,fast_cp_mixed,65,35,245,100,2,0.99,1.5,0.5,0.98,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,fast_cp_mixed_input_only,65,35,245,100,2,0.97,1.46,0.54,0.9444444444444444,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,fast_cp_mixed_no_confidence,65,35,245,100,2,0.97,1.46,0.54,0.9444444444444444,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.1,0.05,fast_cp_mixed_no_spectral,65,35,245,100,2,0.99,1.5,0.5,0.98,0.0,0.84,0.1226840975272811
ECG200,0,noise,0.2,0.05,clean_split_cp,65,35,245,100,2,0.97,1.59,0.41,0.926829268292683,0.0,0.79,0.16022803712576789
ECG200,0,noise,0.2,0.05,aug_split_cp,65,35,245,100,2,0.95,1.5,0.5,0.9,0.0,0.79,0.16022803712576789
ECG200,0,noise,0.2,0.05,aps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.79,0.16022803712576789
ECG200,0,noise,0.2,0.05,raps_aug_cp,65,35,245,100,2,1.0,2.0,0.0,0.0,0.0,0.79,0.16022803712576789
ECG200,0,noise,0.2,0.05,mondrian_corruption_cp,65,35,245,100,2,0.97,1.59,0.41,0.926829268292683,0.0,0.79,0.16022803712576789
ECG200,0,noise,0.2,0.05,label_smooth_aug_cp,65,35,245,100,2,0.95,1.5,0.5,0.9,0.0,0.79,0.16022803712576789
ECG200,0,noise,0.2,0.05,confidence_weighted_cp,65,35,245,100,2,0.95,1.5,0.5,0.9,0.0,0.79,0.16022803712576789
ECG200,0,noise,0.2,0.05,fast_cp,65,35,245,100,2,0.91,1.36,0.64,0.859375,0.0,0.79,0.16022803712576789
ECG200,0,noise,0.2,0.05,fast_cp_mixed,65,35,245,100,2,0.91,1.38,0.62,0.8548387096774194,0.0,0.79,0.16022803712576789
ECG200,0,noise,0.2,0.05,fast_cp_mixed_input_only,65,35,245,100,2,0.91,1.37,0.63,0.8571428571428571,0.0,0.79,0.16022803712576789
ECG200,0,noise,0.2,0.05,fast_cp_mixed_no_confidence,65,35,245,100,2,0.91,1.37,0.63,0.8571428571428571,0.0,0.79,0.16022803712576789
ECG200,0,noise,0.2,0.05,fast_cp_mixed_no_spectral,65,35,245,100,2,0.91,1.39,0.61,0.8524590163934426,0.0,0.79,0.16022803712576789
GunPoint,0,gap,0.05,0.05,clean_split_cp,32,18,126,150,2,1.0,1.6666666666666667,0.3333333333333333,1.0,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.05,0.05,aug_split_cp,32,18,126,150,2,1.0,1.66,0.34,1.0,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.05,0.05,aps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.05,0.05,raps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.05,0.05,mondrian_corruption_cp,32,18,126,150,2,0.9933333333333333,1.5266666666666666,0.47333333333333333,0.9859154929577465,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.05,0.05,label_smooth_aug_cp,32,18,126,150,2,1.0,1.66,0.34,1.0,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.05,0.05,confidence_weighted_cp,32,18,126,150,2,1.0,1.66,0.34,1.0,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.05,0.05,fast_cp,32,18,126,150,2,0.9933333333333333,1.4933333333333334,0.5066666666666667,0.9868421052631579,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.05,0.05,fast_cp_mixed,32,18,126,150,2,0.9933333333333333,1.54,0.46,0.9855072463768116,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.05,0.05,fast_cp_mixed_input_only,32,18,126,150,2,0.9933333333333333,1.5266666666666666,0.47333333333333333,0.9859154929577465,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.05,0.05,fast_cp_mixed_no_confidence,32,18,126,150,2,0.9933333333333333,1.5266666666666666,0.47333333333333333,0.9859154929577465,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.05,0.05,fast_cp_mixed_no_spectral,32,18,126,150,2,0.9933333333333333,1.54,0.46,0.9855072463768116,0.0,0.8466666666666667,0.054913964047107
GunPoint,0,gap,0.1,0.05,clean_split_cp,32,18,126,150,2,1.0,1.6933333333333334,0.30666666666666664,1.0,0.0,0.86,0.061684941157546525
GunPoint,0,gap,0.1,0.05,aug_split_cp,32,18,126,150,2,1.0,1.6466666666666667,0.35333333333333333,1.0,0.0,0.86,0.061684941157546525
GunPoint,0,gap,0.1,0.05,aps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.86,0.061684941157546525
GunPoint,0,gap,0.1,0.05,raps_aug_cp,32,18,126,150,2,1.0,2.0,0.0,0.0,0.0,0.86,0.061684941157546525
GunPoint,0,gap,0.1,0.05,mondrian_corruption_cp,32,18,126,150,2,1.0,1.54,0.46,1.0,0.0,0.86,0.061684941157546525
