dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,noise,0.05,0.05,fast_cp_mixed_0.35,65,35,350,100,2,0.96,1.48,0.52,0.9230769230769231,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,fast_cp_mixed_0.5,65,35,350,100,2,0.96,1.47,0.53,0.9245283018867925,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,fast_cp_mixed_0.8,65,35,350,100,2,0.96,1.47,0.53,0.9245283018867925,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,fast_cp_mixed_1,65,35,350,100,2,0.96,1.47,0.53,0.9245283018867925,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.1,0.05,clean_split_cp,65,35,350,100,2,1.0,1.8,0.2,1.0,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,aug_split_cp,65,35,350,100,2,0.97,1.47,0.53,0.9433962264150944,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,label_smooth_aug_cp,65,35,350,100,2,0.97,1.47,0.53,0.9433962264150944,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,confidence_weighted_cp,65,35,350,100,2,0.99,1.65,0.35,0.9714285714285714,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,fast_cp,65,35,350,100,2,0.96,1.48,0.52,0.9230769230769231,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,fast_cp_mixed_0,65,35,350,100,2,0.96,1.48,0.52,0.9230769230769231,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,fast_cp_mixed_0.2,65,35,350,100,2,0.96,1.47,0.53,0.9245283018867925,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,fast_cp_mixed_0.35,65,35,350,100,2,0.96,1.47,0.53,0.9245283018867925,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,fast_cp_mixed_0.5,65,35,350,100,2,0.96,1.47,0.53,0.9245283018867925,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,fast_cp_mixed_0.8,65,35,350,100,2,0.97,1.48,0.52,0.9423076923076923,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,fast_cp_mixed_1,65,35,350,100,2,0.97,1.47,0.53,0.9433962264150944,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.2,0.05,clean_split_cp,65,35,350,100,2,0.99,1.7,0.3,0.9666666666666667,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,aug_split_cp,65,35,350,100,2,0.95,1.4,0.6,0.9166666666666666,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,label_smooth_aug_cp,65,35,350,100,2,0.95,1.4,0.6,0.9166666666666666,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,confidence_weighted_cp,65,35,350,100,2,0.98,1.57,0.43,0.9534883720930233,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,fast_cp,65,35,350,100,2,0.95,1.41,0.59,0.9152542372881356,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,fast_cp_mixed_0,65,35,350,100,2,0.95,1.41,0.59,0.9152542372881356,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,fast_cp_mixed_0.2,65,35,350,100,2,0.95,1.41,0.59,0.9152542372881356,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,fast_cp_mixed_0.35,65,35,350,100,2,0.96,1.4,0.6,0.9333333333333333,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,fast_cp_mixed_0.5,65,35,350,100,2,0.96,1.4,0.6,0.9333333333333333,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,fast_cp_mixed_0.8,65,35,350,100,2,0.95,1.4,0.6,0.9166666666666666,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,fast_cp_mixed_1,65,35,350,100,2,0.95,1.4,0.6,0.9166666666666666,0.0,0.74,0.19932869379219315
ECG200,0,drift,0.1,0.05,clean_split_cp,65,35,350,100,2,1.0,1.86,0.14,1.0,0.0,0.86,0.11089351047018871
ECG200,0,drift,0.1,0.05,aug_split_cp,65,35,350,100,2,0.97,1.47,0.53,0.9433962264150944,0.0,0.86,0.11089351047018871
ECG200,0,drift,0.1,0.05,label_smooth_aug_cp,65,35,350,100,2,0.97,1.47,0.53,0.9433962264150944,0.0,0.86,0.11089351047018871
ECG200,0,drift,0.1,0.05,confidence_weighted_cp,65,35,350,100,2,0.98,1.67,0.33,0.9393939393939394,0.0,0.86,0.11089351047018871
ECG200,0,drift,0.1,0.05,fast_cp,65,35,350,100,2,0.96,1.48,0.52,0.9230769230769231,0.0,0.86,0.11089351047018871
