dataset,seed,corruption,severity,alpha,method,repeats,extra_smoothing_sec,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
GunPoint,0,gap,0.2,0.05,aug_split_cp,1,0.0,150,2,0.9333333333333333,1.24,0.76,0.9122807017543859,0.0,0.8733333333333333,0.06132538567238967
GunPoint,0,gap,0.2,0.05,fast_cp_mixed,1,0.0,150,2,0.9333333333333333,1.2266666666666666,0.7733333333333333,0.9137931034482759,0.0,0.8733333333333333,0.06132538567238967
GunPoint,0,gap,0.2,0.05,smoothing_proxy_cp,8,13.596520900726318,150,2,0.9666666666666667,1.3066666666666666,0.6933333333333334,0.9519230769230769,0.0,0.86,0.07121108448080055
GunPoint,0,noise,0.05,0.05,aug_split_cp,1,0.0,150,2,0.9866666666666667,1.24,0.76,0.9824561403508771,0.0,0.9,0.03152660726608932
GunPoint,0,noise,0.05,0.05,fast_cp_mixed,1,0.0,150,2,0.9866666666666667,1.24,0.76,0.9824561403508771,0.0,0.9,0.03152660726608932
GunPoint,0,noise,0.05,0.05,smoothing_proxy_cp,8,13.545300006866455,150,2,0.98,1.2933333333333332,0.7066666666666667,0.9716981132075472,0.0,0.8933333333333333,0.0530529583069748
GunPoint,0,noise,0.1,0.05,aug_split_cp,1,0.0,150,2,0.9733333333333334,1.3066666666666666,0.6933333333333334,0.9615384615384616,0.0,0.8733333333333333,0.0638745014857415
GunPoint,0,noise,0.1,0.05,fast_cp_mixed,1,0.0,150,2,0.9666666666666667,1.2933333333333332,0.7066666666666667,0.9528301886792453,0.0,0.8733333333333333,0.0638745014857415
GunPoint,0,noise,0.1,0.05,smoothing_proxy_cp,8,13.55171012878418,150,2,0.9666666666666667,1.32,0.68,0.9509803921568627,0.0,0.8466666666666667,0.05456853891256447
GunPoint,0,noise,0.2,0.05,aug_split_cp,1,0.0,150,2,0.84,1.32,0.68,0.7647058823529411,0.0,0.6666666666666666,0.21381089980451673
GunPoint,0,noise,0.2,0.05,fast_cp_mixed,1,0.0,150,2,0.84,1.32,0.68,0.7647058823529411,0.0,0.6666666666666666,0.21381089980451673
GunPoint,0,noise,0.2,0.05,smoothing_proxy_cp,8,13.544112205505371,150,2,0.82,1.3,0.7,0.7428571428571429,0.0,0.6466666666666666,0.24043642782210603
GunPoint,0,drift,0.1,0.05,aug_split_cp,1,0.0,150,2,0.9866666666666667,1.2466666666666666,0.7533333333333333,0.9823008849557522,0.0,0.92,0.034821538861504624
GunPoint,0,drift,0.1,0.05,fast_cp_mixed,1,0.0,150,2,0.9866666666666667,1.24,0.76,0.9824561403508771,0.0,0.92,0.034821538861504624
GunPoint,0,drift,0.1,0.05,smoothing_proxy_cp,8,13.581204891204834,150,2,0.9866666666666667,1.2666666666666666,0.7333333333333333,0.9818181818181818,0.0,0.88,0.06699368083820854
GunPoint,0,drift,0.2,0.05,aug_split_cp,1,0.0,150,2,0.9866666666666667,1.2866666666666666,0.7133333333333334,0.9813084112149533,0.0,0.9,0.05226314595612809
GunPoint,0,drift,0.2,0.05,fast_cp_mixed,1,0.0,150,2,0.9866666666666667,1.28,0.72,0.9814814814814815,0.0,0.9,0.05226314595612809
