lambda,method,feasible,coverage_shortfall,mean_coverage,mean_set_size,mean_abs_gap
0.1,fast_cp_mixed_0.1,False,0.04982873376428598,0.8567237554119046,2.2088518204469128,0.07110986806626884
0.2,fast_cp_mixed_0.2,False,0.05119603759445435,0.8562679874685152,2.2127144112437804,0.07167519563919389
0.0,fast_cp_mixed_0,False,0.04264070224491989,0.85911976591836,2.2177468180445734,0.06848605839725036
0.35,fast_cp_mixed_0.35,False,0.0510711668448659,0.8563096110517113,2.220341466252563,0.07212597662998495
0.5,fast_cp_mixed_0.5,False,0.050185151259513394,0.8566049495801623,2.2313347225772606,0.07260170742506425
0.65,fast_cp_mixed_0.65,False,0.04886836204580669,0.8570438793180644,2.2460077040274746,0.07296457676659822
0.8,fast_cp_mixed_0.8,False,0.0467648039731432,0.8577450653422858,2.266136618124856,0.07364349370450067
1.0,fast_cp_mixed_1,False,0.0413489119375241,0.8595503626874919,2.323467914753091,0.07483434521505883
