method,alpha,corruption,coverage,coverage_gap,abs_coverage_gap,avg_set_size,singleton_rate,top1_accuracy,ece
fast_cp,0.05,drift,0.9712919024101276,-0.021291902410127784,0.03666791093223171,1.8759961836631103,0.4674800049184693,0.7857557052753157,0.21805775080987805
confidence_weighted_cp,0.05,drift,0.9793453609969565,-0.02934536099695662,0.03750986755415723,1.9415257211043193,0.4352614965824416,0.7857557052753157,0.21805775080987805
fast_cp_mixed_0.35,0.05,drift,0.9766855942773103,-0.026685594277310227,0.038724245586206615,1.9460621301571732,0.44546057554426693,0.7857557052753157,0.21805775080987805
aug_split_cp,0.05,drift,0.9818687308316414,-0.03186873083164148,0.039443859086109964,2.065598181572744,0.41598909168613457,0.7857557052753157,0.21805775080987805
fast_cp_mixed_1,0.05,drift,0.9818687308316414,-0.03186873083164148,0.039443859086109964,2.065598181572744,0.41598909168613457,0.7857557052753157,0.21805775080987805
label_smooth_aug_cp,0.05,drift,0.9818687308316414,-0.03186873083164148,0.039443859086109964,2.065598181572744,0.41598909168613457,0.7857557052753157,0.21805775080987805
mondrian_corruption_cp,0.05,drift,0.9555307003136445,-0.005530700313644584,0.04070911580142079,1.8495461888876887,0.5056383513503143,0.7857557052753157,0.21805775080987805
aps_aug_cp,0.05,drift,0.9915149052709795,-0.041514905270979584,0.04625413429592289,2.493394479582755,0.060951446451643375,0.7857557052753157,0.21805775080987805
raps_aug_cp,0.05,drift,0.9915149052709795,-0.041514905270979584,0.04625413429592289,2.4938003649201477,0.060951446451643375,0.7857557052753157,0.21805775080987805
clean_split_cp,0.05,drift,0.8519818504261226,0.09801814957387732,0.12089774639094797,1.410278043380475,0.6283451377940587,0.7857557052753157,0.21805775080987805
confidence_weighted_cp,0.05,gap,0.9637261846233661,-0.013726184623366219,0.039391904302741323,1.9823431516814358,0.41617267630927807,0.7907996512152381,0.2028592950468916
mondrian_corruption_cp,0.05,gap,0.9602837024334966,-0.010283702433496512,0.04099727946274205,2.068512130252253,0.448510651178412,0.7907996512152381,0.2028592950468916
aug_split_cp,0.05,gap,0.9626606142278736,-0.012660614227873592,0.04210654688422692,2.0671037059085804,0.40696324253624516,0.7907996512152381,0.2028592950468916
fast_cp_mixed_1,0.05,gap,0.9626606142278736,-0.012660614227873592,0.04210654688422692,2.0671037059085804,0.40696324253624516,0.7907996512152381,0.2028592950468916
label_smooth_aug_cp,0.05,gap,0.9626606142278736,-0.012660614227873592,0.04210654688422692,2.0671037059085804,0.40696324253624516,0.7907996512152381,0.2028592950468916
fast_cp_mixed_0.35,0.05,gap,0.9554978836302693,-0.005497883630269388,0.043154713329774594,1.9750036743248083,0.43800769985066973,0.7907996512152381,0.2028592950468916
fast_cp,0.05,gap,0.9480928895017074,0.0019071104982925722,0.044028118930101154,1.907697308233575,0.46446636698303106,0.7907996512152381,0.2028592950468916
