method,corruption,coverage,abs_gap,set_size,extra_smoothing_sec
aug_split_cp,drift,0.9822222222222222,0.032962962962963006,1.4243915343915345,0.0
aug_split_cp,gap,0.9767724867724868,0.03047619047619056,1.3866137566137564,0.0
aug_split_cp,noise,0.9565079365079365,0.03571428571428575,1.411851851851852,0.0
fast_cp_mixed,drift,0.9771428571428573,0.02788359788359794,1.2703703703703704,0.0
fast_cp_mixed,gap,0.9822222222222222,0.03592592592592598,1.273121693121693,0.0
fast_cp_mixed,noise,0.9557671957671958,0.03497354497354502,1.3122751322751323,0.0
smoothing_proxy_cp,drift,0.982962962962963,0.03370370370370374,1.4646560846560848,11.81909171740214
smoothing_proxy_cp,gap,0.9815873015873016,0.031587301587301685,1.445026455026455,11.805672725041708
smoothing_proxy_cp,noise,0.955026455026455,0.038677248677248706,1.4387830687830687,11.802112579345703
