alpha,corruption,n,candidate_coverage,baseline_coverage,coverage_delta,candidate_set_size,baseline_set_size,set_size_reduction,set_size_reduction_pct,candidate_abs_gap,baseline_abs_gap,abs_gap_delta
0.05,drift,510,0.9553093360434994,0.9642142633351803,-0.008904927291680922,2.350431011380966,2.46305862708895,0.11262761570798384,0.045152053140508554,0.036411358769914116,0.03633355645507811,7.780231483601153e-05
0.05,gap,510,0.9365750530499514,0.9422911742478146,-0.005716121197863184,2.3446602535626058,2.4373269115131446,0.09266665795053813,0.039252118415003236,0.05021879206324294,0.050854091085249124,-0.0006352990220061904
0.05,noise,510,0.9381171156133771,0.94007348436553,-0.001956368752152792,2.3380092062183384,2.418715359383155,0.08070615316481657,0.03072367710321305,0.05009715526192989,0.05326999345384516,-0.00317283819191527
