alpha,corruption,n,candidate_coverage,baseline_coverage,coverage_delta,candidate_set_size,baseline_set_size,set_size_reduction,set_size_reduction_pct,candidate_abs_gap,baseline_abs_gap,abs_gap_delta
0.05,drift,30,0.9673394676781393,0.9739510898506523,-0.006611622172513002,1.7681497844665153,1.8642567613858099,0.09610697691929454,0.05018927428604067,0.024117147904458694,0.0300849304515693,-0.005967782547110604
0.05,gap,30,0.9547133684695264,0.9599326308615542,-0.005219262392027894,1.794446663628796,1.8624127326806783,0.06796606905188263,0.03844292133119162,0.0341492419337276,0.034957860311090744,-0.0008086183773631461
0.05,noise,30,0.9580221886955196,0.9654565205594742,-0.007434331863954561,1.8011883169859337,1.8810984198316854,0.07991010284575178,0.03962257691067206,0.03202218869551965,0.03612318722614087,-0.004100998530621225
