lambda,method,alpha,corruption,coverage,avg_set_size,abs_coverage_gap,pareto
0.35,fast_cp_mixed_0.35,0.2,gap,0.7719864123277508,1.4793940849832024,0.10384476749784685,False
0.5,fast_cp_mixed_0.5,0.2,gap,0.7721317523213714,1.4892697103566146,0.10413574878912966,False
0.65,fast_cp_mixed_0.65,0.2,gap,0.7723917701919152,1.5033958854399307,0.1041380113052278,False
0.8,fast_cp_mixed_0.8,0.2,gap,0.7725288361137242,1.5224874459512578,0.10429409643006753,False
1.0,fast_cp_mixed_1,0.2,gap,0.7737847285378916,1.5716106453856118,0.10495661893253175,False
0.0,fast_cp_mixed_0,0.2,noise,0.7376670117806575,1.5860190058965615,0.09811618318034224,True
0.1,fast_cp_mixed_0.1,0.2,noise,0.7344807217393134,1.5611351232328752,0.10168685552168029,False
0.2,fast_cp_mixed_0.2,0.2,noise,0.7340508322162639,1.557299100562397,0.10137796151394841,True
0.35,fast_cp_mixed_0.35,0.2,noise,0.7333036607193372,1.5530212868341777,0.10203274443218091,True
0.5,fast_cp_mixed_0.5,0.2,noise,0.7332315680927805,1.5524861952414402,0.10247112723259975,True
0.65,fast_cp_mixed_0.65,0.2,noise,0.7337278978654754,1.5549518508440936,0.1023858993578666,False
0.8,fast_cp_mixed_0.8,0.2,noise,0.7343850283003636,1.560298246283148,0.1030706696673512,False
1.0,fast_cp_mixed_1,0.2,noise,0.7357504388114658,1.5739020142879345,0.10452163973516512,False
