method,alpha,corruption,coverage,coverage_gap,abs_coverage_gap,avg_set_size,singleton_rate,top1_accuracy,ece
aug_split_cp,0.05,drift,0.9706670631294452,-0.020667063129445173,0.02923832446980219,1.2698859381705774,0.7294116913289836,0.9158775214421234,0.057886092344585374
label_smooth_aug_cp,0.05,drift,0.9706670631294452,-0.020667063129445173,0.02923832446980219,1.2698859381705774,0.7294116913289836,0.9158775214421234,0.057886092344585374
fast_cp,0.05,drift,0.9446390456680185,0.0053609543319815085,0.03590275513190352,1.1318650473693386,0.8190500165951242,0.9158775214421234,0.057886092344585374
confidence_weighted_cp,0.05,drift,0.9475103508354301,0.0024896491645698257,0.03684688260520982,1.2683333813980462,0.6770828803447463,0.9158775214421234,0.057886092344585374
clean_split_cp,0.05,drift,0.9092341687207932,0.0407658312792067,0.08156012995105649,1.2126815638835493,0.6354726231644043,0.9158775214421234,0.057886092344585374
aug_split_cp,0.05,gap,0.9584852721472384,-0.008485272147238487,0.03072966101863633,1.257151466130162,0.7422632251194721,0.9072588563499316,0.0647955776884115
label_smooth_aug_cp,0.05,gap,0.9584852721472384,-0.008485272147238487,0.03072966101863633,1.257151466130162,0.7422632251194721,0.9072588563499316,0.0647955776884115
fast_cp,0.05,gap,0.9406971106850701,0.009302889314929886,0.04325135427305251,1.1415767136989836,0.813660761532758,0.9072588563499316,0.0647955776884115
confidence_weighted_cp,0.05,gap,0.9277085264809549,0.022291473519045066,0.053218184501945806,1.2621093918733095,0.6676606113660816,0.9072588563499316,0.0647955776884115
clean_split_cp,0.05,gap,0.9009308968790075,0.04906910312099247,0.0898478527160687,1.2161631128641934,0.6294951504411288,0.9072588563499316,0.0647955776884115
fast_cp,0.05,noise,0.9437044571915475,0.0062955428084524295,0.028942476208678226,1.1751399556268847,0.7852010251150923,0.8792208198133553,0.09130442485689592
aug_split_cp,0.05,noise,0.9614564080074105,-0.01145640800741053,0.030835256064046083,1.252961637817885,0.7464530534317494,0.8792208198133553,0.09130442485689592
label_smooth_aug_cp,0.05,noise,0.9614564080074105,-0.01145640800741053,0.030835256064046083,1.252961637817885,0.7464530534317494,0.8792208198133553,0.09130442485689592
confidence_weighted_cp,0.05,noise,0.9198730994885517,0.0301269005114483,0.06245038114748388,1.2319603975207711,0.6996560585854811,0.8792208198133553,0.09130442485689592
clean_split_cp,0.05,noise,0.8694666614335856,0.0805333385664144,0.12279054621137728,1.1856528595802216,0.6183188783686894,0.8792208198133553,0.09130442485689592
confidence_weighted_cp,0.1,drift,0.9216492464789755,-0.021649246478975377,0.04913871845824329,1.0813484387358356,0.8427106518513588,0.9158775214421234,0.057886092344585374
fast_cp,0.1,drift,0.8793090393229075,0.020690960677092463,0.058722706708838474,1.0002723255613546,0.8447504596721418,0.9158775214421234,0.057886092344585374
aug_split_cp,0.1,drift,0.8891963278559469,0.010803672144053105,0.06155183608624686,1.0046242940673071,0.8596084210514341,0.9158775214421234,0.057886092344585374
label_smooth_aug_cp,0.1,drift,0.8891963278559469,0.010803672144053105,0.06155183608624686,1.0046242940673071,0.8596084210514341,0.9158775214421234,0.057886092344585374
clean_split_cp,0.1,drift,0.8999008353874599,9.916461254009986e-05,0.08578235217327872,1.1066815638835492,0.7414726231644043,0.9158775214421234,0.057886092344585374
confidence_weighted_cp,0.1,gap,0.9042928346889574,-0.0042928346889573,0.06646525163014744,1.0693210060143459,0.839849399887887,0.9072588563499316,0.0647955776884115
fast_cp,0.1,gap,0.8730048624993708,0.02699513750062924,0.07258243908793087,1.0042973106797801,0.8410147160498884,0.9072588563499316,0.0647955776884115
aug_split_cp,0.1,gap,0.8794753898716559,0.020524610128344167,0.07528269644744894,1.0004093219377304,0.852028369556778,0.9072588563499316,0.0647955776884115
label_smooth_aug_cp,0.1,gap,0.8794753898716559,0.020524610128344167,0.07528269644744894,1.0004093219377304,0.852028369556778,0.9072588563499316,0.0647955776884115
clean_split_cp,0.1,gap,0.8929308968790075,0.007069103120992544,0.09254626541448137,1.1114964461975267,0.7341618171077955,0.9072588563499316,0.0647955776884115
fast_cp,0.1,noise,0.8777665869475011,0.022233413052498915,0.0509318257509116,1.0474334234048985,0.824133540267564,0.8792208198133553,0.09130442485689592
confidence_weighted_cp,0.1,noise,0.8961416589379178,0.003858341062082271,0.07296964727611016,1.0849608033689668,0.8275609075186577,0.8792208198133553,0.09130442485689592
aug_split_cp,0.1,noise,0.8549322227825032,0.045067777217496816,0.08295302883057984,1.0151109740271376,0.8408252597414233,0.8792208198133553,0.09130442485689592
label_smooth_aug_cp,0.1,noise,0.8549322227825032,0.045067777217496816,0.08295302883057984,1.0151109740271376,0.8408252597414233,0.8792208198133553,0.09130442485689592
clean_split_cp,0.1,noise,0.8587999947669189,0.041200005233081136,0.12079054621137725,1.0976528595802217,0.7063188783686893,0.8792208198133553,0.09130442485689592
