method,coverage,abs_gap,set_size,extra_smoothing_sec
aug_split_cp,0.9718342151675485,0.03305114638447977,1.4076190476190475,0.0
fast_cp_mixed,0.971710758377425,0.03292768959435631,1.2852557319223987,0.0
smoothing_proxy_cp,0.9731922398589065,0.03465608465608471,1.4494885361552028,11.808959007263184
