dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,noise,0.05,0.05,label_smooth_aug_cp,65,35,350,100,2,0.95,1.35,0.65,0.9230769230769231,0.0,0.86,0.10987513463145654
ECG200,0,noise,0.05,0.05,confidence_weighted_cp,65,35,350,100,2,0.97,1.55,0.45,0.9333333333333333,0.0,0.86,0.10987513463145654
ECG200,0,noise,0.05,0.05,fast_cp,65,35,350,100,2,0.95,1.36,0.64,0.921875,0.0,0.86,0.10987513463145654
ECG200,0,noise,0.1,0.1,clean_split_cp,65,35,350,100,2,0.96,1.37,0.63,0.9365079365079365,0.0,0.83,0.11432465452771705
ECG200,0,noise,0.1,0.1,aug_split_cp,65,35,350,100,2,0.91,1.21,0.79,0.8860759493670886,0.0,0.83,0.11432465452771705
ECG200,0,noise,0.1,0.1,label_smooth_aug_cp,65,35,350,100,2,0.91,1.21,0.79,0.8860759493670886,0.0,0.83,0.11432465452771705
ECG200,0,noise,0.1,0.1,confidence_weighted_cp,65,35,350,100,2,0.94,1.3,0.7,0.9142857142857143,0.0,0.83,0.11432465452771705
ECG200,0,noise,0.1,0.1,fast_cp,65,35,350,100,2,0.91,1.22,0.78,0.8846153846153846,0.0,0.83,0.11432465452771705
ECG200,0,noise,0.1,0.05,clean_split_cp,65,35,350,100,2,1.0,1.83,0.17,1.0,0.0,0.83,0.11432465452771705
ECG200,0,noise,0.1,0.05,aug_split_cp,65,35,350,100,2,0.96,1.39,0.61,0.9344262295081968,0.0,0.83,0.11432465452771705
ECG200,0,noise,0.1,0.05,label_smooth_aug_cp,65,35,350,100,2,0.96,1.39,0.61,0.9344262295081968,0.0,0.83,0.11432465452771705
ECG200,0,noise,0.1,0.05,confidence_weighted_cp,65,35,350,100,2,0.97,1.53,0.47,0.9361702127659575,0.0,0.83,0.11432465452771705
ECG200,0,noise,0.1,0.05,fast_cp,65,35,350,100,2,0.95,1.39,0.61,0.9180327868852459,0.0,0.83,0.11432465452771705
ECG200,0,noise,0.2,0.1,clean_split_cp,65,35,350,100,2,0.92,1.33,0.67,0.8805970149253731,0.0,0.73,0.20315356013503022
ECG200,0,noise,0.2,0.1,aug_split_cp,65,35,350,100,2,0.85,1.22,0.78,0.8076923076923077,0.0,0.73,0.20315356013503022
