dataset,seed,corruption,severity,alpha,method,n_train,n_calib,n_aug_calib,n_test,n_classes,coverage,avg_set_size,singleton_rate,singleton_accuracy,empty_rate,top1_accuracy,ece
ECG200,0,noise,0.05,0.05,aug_split_cp,65,35,245,100,2,0.97,1.58,0.42,0.9285714285714286,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,label_smooth_aug_cp,65,35,245,100,2,0.97,1.58,0.42,0.9285714285714286,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,confidence_weighted_cp,65,35,245,100,2,1.0,1.75,0.25,1.0,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.05,0.05,fast_cp,65,35,245,100,2,0.97,1.57,0.43,0.9302325581395349,0.0,0.86,0.09367895071466872
ECG200,0,noise,0.1,0.1,clean_split_cp,65,35,245,100,2,0.97,1.47,0.53,0.9433962264150944,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.1,aug_split_cp,65,35,245,100,2,0.94,1.29,0.71,0.9154929577464789,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.1,label_smooth_aug_cp,65,35,245,100,2,0.94,1.29,0.71,0.9154929577464789,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.1,confidence_weighted_cp,65,35,245,100,2,0.96,1.39,0.61,0.9344262295081968,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.1,fast_cp,65,35,245,100,2,0.95,1.3,0.7,0.9285714285714286,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,clean_split_cp,65,35,245,100,2,1.0,1.8,0.2,1.0,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,aug_split_cp,65,35,245,100,2,0.98,1.57,0.43,0.9534883720930233,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,label_smooth_aug_cp,65,35,245,100,2,0.98,1.57,0.43,0.9534883720930233,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,confidence_weighted_cp,65,35,245,100,2,1.0,1.74,0.26,1.0,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.1,0.05,fast_cp,65,35,245,100,2,0.99,1.57,0.43,0.9767441860465116,0.0,0.82,0.13782659974132982
ECG200,0,noise,0.2,0.1,clean_split_cp,65,35,245,100,2,0.94,1.38,0.62,0.9032258064516129,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.1,aug_split_cp,65,35,245,100,2,0.89,1.27,0.73,0.8493150684931506,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.1,label_smooth_aug_cp,65,35,245,100,2,0.89,1.27,0.73,0.8493150684931506,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.1,confidence_weighted_cp,65,35,245,100,2,0.92,1.33,0.67,0.8805970149253731,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.1,fast_cp,65,35,245,100,2,0.87,1.23,0.77,0.8311688311688312,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,clean_split_cp,65,35,245,100,2,0.99,1.7,0.3,0.9666666666666667,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,aug_split_cp,65,35,245,100,2,0.97,1.51,0.49,0.9387755102040817,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,label_smooth_aug_cp,65,35,245,100,2,0.97,1.51,0.49,0.9387755102040817,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,confidence_weighted_cp,65,35,245,100,2,0.98,1.6,0.4,0.95,0.0,0.74,0.19932869379219315
ECG200,0,noise,0.2,0.05,fast_cp,65,35,245,100,2,0.97,1.48,0.52,0.9423076923076923,0.0,0.74,0.19932869379219315
GunPoint,0,gap,0.05,0.1,clean_split_cp,32,18,126,150,2,0.9733333333333334,1.1733333333333333,0.8266666666666667,0.967741935483871,0.0,0.8933333333333333,0.03707156544838769
GunPoint,0,gap,0.05,0.1,aug_split_cp,32,18,126,150,2,0.9666666666666667,1.16,0.84,0.9603174603174603,0.0,0.8933333333333333,0.03707156544838769
GunPoint,0,gap,0.05,0.1,label_smooth_aug_cp,32,18,126,150,2,0.9666666666666667,1.16,0.84,0.9603174603174603,0.0,0.8933333333333333,0.03707156544838769
GunPoint,0,gap,0.05,0.1,confidence_weighted_cp,32,18,126,150,2,0.98,1.2266666666666666,0.7733333333333333,0.9741379310344828,0.0,0.8933333333333333,0.03707156544838769
GunPoint,0,gap,0.05,0.1,fast_cp,32,18,126,150,2,0.96,1.12,0.88,0.9545454545454546,0.0,0.8933333333333333,0.03707156544838769
GunPoint,0,gap,0.05,0.05,clean_split_cp,32,18,126,150,2,0.9733333333333334,1.1733333333333333,0.8266666666666667,0.967741935483871,0.0,0.8933333333333333,0.03707156544838769
GunPoint,0,gap,0.05,0.05,aug_split_cp,32,18,126,150,2,0.9866666666666667,1.2533333333333334,0.7466666666666667,0.9821428571428571,0.0,0.8933333333333333,0.03707156544838769
GunPoint,0,gap,0.05,0.05,label_smooth_aug_cp,32,18,126,150,2,0.9866666666666667,1.2533333333333334,0.7466666666666667,0.9821428571428571,0.0,0.8933333333333333,0.03707156544838769
GunPoint,0,gap,0.05,0.05,confidence_weighted_cp,32,18,126,150,2,0.9866666666666667,1.2533333333333334,0.7466666666666667,0.9821428571428571,0.0,0.8933333333333333,0.03707156544838769
