method,coverage,avg_set_size,abs_gap,coverage_delta_vs_aug,set_size_reduction_vs_aug,drift_set_size,gap_set_size,noise_set_size
Clean SCP,0.8655541845784388,1.9322505834761154,0.10494489835694208,-0.08455817097352321,0.4862140599145441,1.9412448740792405,1.9240286862883695,1.9314781900607367
Aug SCP / FAST-CP-safe,0.950112355551962,2.4184646433906596,0.0467363689035371,0.0,0.0,2.440523941965505,2.4150763726828455,2.3997936155236284
APS,0.9757297849371793,3.259540311736066,0.042343432424154885,0.025617429385217376,-0.8410756683454066,3.2653654744422633,3.2127814034868605,3.3004740572790747
RAPS,0.9729918812022236,2.731313430558023,0.0423988578282421,0.0228795256502616,-0.3128487871673636,2.7262290484317018,2.729293233095216,2.738418010147152
Mondrian,0.9553389980390407,2.5021305440511585,0.0417703462022315,0.005226642487078637,-0.08366590066049906,2.3171575495098304,2.7411893746098643,2.448044708033781
Conf-weighted,0.947793491217714,2.426214650282241,0.043962392125028886,-0.002318864334247986,-0.00775000689158111,2.4420963093161543,2.4309622968972775,2.40558534463329
FAST-CP-local,0.9440002137807169,2.311174044450635,0.04464164764655751,-0.00611214177124511,0.10729059894002473,2.3003216494092014,2.3096361831476493,2.3235643007950544
FAST-CP-efficient,0.9448004631665766,2.3253895461309426,0.0455236872800057,-0.00531189238538531,0.09307509725971704,2.3308777651080432,2.323972397691439,2.3213184755933463
