variant,coverage,avg_set_size,abs_gap,coverage_delta_vs_aug,set_size_reduction_vs_aug
Random fingerprint,0.9439807529152553,2.3680520752999255,0.04886103164376814,-0.0061316026367066985,0.05041256809073383
Input-only,0.9386774990558181,2.281993966013891,0.047362739024013965,-0.011434856496143987,0.13647067737676832
Confidence-only,0.9493588683698267,2.3921272450374733,0.04431896920586038,-0.0007534871821351851,0.0263373983531865
FAST-CP-efficient,0.9448004631665766,2.3253895461309426,0.0455236872800057,-0.00531189238538531,0.09307509725971704
